Key,English,Vietnamese,Context,Screen,Category
app_name,Nông Trí,Nông Trí,"App name - brand identity, never translated",All,Brand
app_tagline,AI Farming Assistant,Trợ lý AI nông nghiệp,"Short tagline shown on language selection screen. Keep concise (max 25 chars).",Language Selection,Brand
ai_assistant_name,Nông Trí AI,Nông Trí AI,"Name used to identify AI in chat bubbles. Consistent branding.",Chat,Brand
select_language,Select Language,Chọn ngôn ngữ,"Header for language selection screen. Clear call to action.",Language Selection,Headers
select_language_bilingual,Select Language / Chọn ngôn ngữ,Select Language / Chọn ngôn ngữ,"Bilingual prompt shown on language selection. Helps users who don't know current language.",Language Selection,Headers
choose_your_language,Choose your preferred language,Chọn ngôn ngữ ưa thích của bạn,"Instructional text explaining language selection. Friendly tone.",Language Selection,Instructions
continue,Continue,Tiếp tục,"Button to proceed after language selection. Action verb, keep short.",Language Selection,Buttons
chat_title,Nông Trí,Nông Trí,"Title shown in chat screen top bar. Brand name.",Chat,Headers
menu_conversations,Conversations,Cuộc trò chuyện,"Menu item to view conversation list. Noun, plural.",Chat,Menu Items
menu_new_chat,New Chat,Trò chuyện mới,"Menu item to start new conversation. Action phrase, concise.",Chat,Menu Items
menu_share_location,Share Location,Chia sẻ vị trí,"Menu item to share GPS location. Action phrase.",Chat,Menu Items
menu_language_section,Language,Ngôn ngữ,"Section header in menu for language options. Singular noun.",Chat,Menu Items
menu_theme_section,Theme,Giao diện,"Section header in menu for theme options. Singular noun.",Chat,Menu Items
back,Back,Quay lại,"Navigation action to go back. Short, universal.",All,Navigation
close,Close,Đóng,"Action to close dialog/bottom sheet. Short, clear.",All,Navigation
cancel,Cancel,Hủy,"Action to cancel operation. Short, clear.",All,Navigation
ok,OK,OK,"Confirmation button. Universal abbreviation.",All,Buttons
yes,Yes,Có,"Affirmative response. Short, clear.",All,Buttons
no,No,Không,"Negative response. Short, clear.",All,Buttons
retry,Retry,Thử lại,"Action to try again after error. Action verb.",All,Buttons
delete,Delete,Xóa,"Action to delete item. Destructive action, keep clear.",All,Buttons
send,Send,Gửi,"Action to send message/image. Action verb, short.",All,Buttons
confirm,Confirm,Xác nhận,"Action to confirm choice. Action verb.",All,Buttons
dismiss,Dismiss,Bỏ qua,"Action to dismiss notification/dialog. Action verb.",All,Buttons
welcome_message,Hello! I'm your AI farming assistant,Xin chào! Tôi là trợ lý AI nông nghiệp của bạn,"First message shown to new users. Warm, friendly greeting.",Chat,Messages
welcome_description,"Ask me anything about crops, livestock, pest management, or farming techniques. I'm here to help!","Hỏi tôi bất cứ điều gì về cây trồng, vật nuôi, quản lý sâu bệnh hoặc kỹ thuật canh tác. Tôi ở đây để giúp bạn!","Description of AI capabilities. Encouraging, helpful tone. Lists key topics.",Chat,Messages
building_experience,Building your experience...,Đang xây dựng trải nghiệm...,"Loading message shown while initializing. Present continuous tense.",Chat,Status
starter_questions_header_vi,Gợi ý câu hỏi,Gợi ý câu hỏi,"Vietnamese header for suggested questions section. Always Vietnamese regardless of app language.",Chat,Headers
starter_questions_header_en,Suggested questions,Suggested questions,"English header for suggested questions section. Always English regardless of app language.",Chat,Headers
type_message,Type your message...,Nhập tin nhắn của bạn...,"Placeholder text in message input field. Instructional, ends with ellipsis.",Chat,Placeholders
listening,Listening...,Đang nghe...,"Status shown during voice recording. Present continuous, ends with ellipsis.",Chat,Status
processing,Processing...,Đang xử lý...,"Status shown while processing voice/message. Present continuous, ends with ellipsis.",Chat,Status
transcribing,Transcribing...,Đang phiên âm...,"Status shown while converting voice to text. Present continuous, ends with ellipsis.",Chat,Status
tap_to_speak,Tap to speak,Chạm để nói,"Instruction for voice input. Action phrase, concise.",Chat,Instructions
release_to_send,Release to send,Thả ra để gửi,"Instruction for voice recording gesture. Action phrase.",Chat,Instructions
slide_to_cancel_hint,< Slide to cancel,< Vuốt để hủy,"Hint shown during voice recording for cancel gesture. Includes directional arrow.",Chat,Instructions
text_message,Text message,Tin nhắn văn bản,"Label for text message type. Noun phrase.",Chat,Labels
voice_message,Voice message,Tin nhắn thoại,"Label for voice message type. Noun phrase.",Chat,Labels
image_message,Image message,Tin nhắn hình ảnh,"Label for image message type. Noun phrase.",Chat,Labels
user_label,You,Bạn,"Label for user messages in chat. Second person pronoun.",Chat,Labels
ai_label,Nông Trí AI,Nông Trí AI,"Label for AI messages in chat. Brand name.",Chat,Labels
follow_up_section_header,💡 What's next?,💡 Tiếp theo?,"Header for follow-up questions section. Includes lightbulb emoji. Curious, engaging tone.",Chat,Headers
action_copy,Copy,Sao chép,"Action to copy text to clipboard. Action verb, short.",Chat,Actions
action_share,Share,Chia sẻ,"Action to share content. Action verb, short.",Chat,Actions
action_listen,Listen,Nghe,"Action to play TTS audio. Action verb, short.",Chat,Actions
action_listen_error,Listen (Error - tap to retry),Nghe (Lỗi - chạm để thử lại),"Action to retry TTS after error. Includes error state and recovery action.",Chat,Actions
action_thumbs_up,Good response,Phản hồi tốt,"Positive feedback action. Adjective phrase.",Chat,Actions
action_thumbs_down,Bad response,Phản hồi không tốt,"Negative feedback action. Adjective phrase.",Chat,Actions
share_ai_response,Share AI Response,Chia sẻ phản hồi AI,"Title for share dialog. Action phrase.",Chat,Dialogs
recording,Recording...,Đang ghi âm...,"Status during voice recording. Present continuous, ends with ellipsis.",Chat,Status
cancel_recording,Cancel,Hủy,"Action to cancel voice recording. Action verb, short. Same as general cancel.",Chat,Buttons
send_recording,Send recording,Gửi bản ghi,"Action to send voice recording. Action phrase.",Chat,Buttons
attach_image,Attach image,Đính kèm hình ảnh,"Action to attach image. Action phrase.",Chat,Actions
take_photo,Take Photo,Chụp ảnh,"Action to capture photo with camera. Action phrase.",Image,Actions
choose_from_gallery,Choose from Gallery,Chọn từ thư viện,"Action to select existing photo. Action phrase.",Image,Actions
camera,Camera,Máy ảnh,"Label for camera option. Singular noun.",Image,Labels
gallery,Gallery,Thư viện,"Label for gallery option. Singular noun.",Image,Labels
select_image_source,Select Image Source,Chọn nguồn hình ảnh,"Bottom sheet title for image source selection. Instructional.",Image,Headers
capture_new_photo,Capture a new photo of your plant,Chụp ảnh mới cây trồng của bạn,"Description for camera option. Action phrase, specifies subject (plant).",Image,Instructions
select_existing_photo,Select an existing photo,Chọn ảnh có sẵn,"Description for gallery option. Action phrase.",Image,Instructions
image_tips_text,"For best results, take clear photos in good lighting with the plant filling most of the frame.","Để có kết quả tốt nhất, hãy chụp ảnh rõ nét trong ánh sáng tốt với cây trồng lấp đầy phần lớn khung hình.","Photography tips for better diagnosis. Helpful, instructional tone. Mentions lighting and framing.",Image,Instructions
confirm_image,Confirm Image,Xác nhận hình ảnh,"Dialog title for image confirmation. Action phrase.",Image,Dialogs
ask_question_about_plant,Ask a question about your plant:,Đặt câu hỏi về cây trồng của bạn:,"Label for question input field. Ends with colon. Friendly tone.",Image,Labels
default_plant_question,How is the health of my crop?,Tình trạng sức khỏe của cây trồng của tôi như thế nào?,"Default question pre-filled in image diagnosis. Ends with question mark. First person.",Image,Placeholders
send_for_diagnosis,Send for Diagnosis,Gửi để chẩn đoán,"Action to submit image for AI analysis. Action phrase.",Image,Buttons
diagnosis_info_text,The AI will analyze your plant image and provide health diagnosis with treatment recommendations.,AI sẽ phân tích hình ảnh cây trồng của bạn và cung cấp chẩn đoán sức khỏe cùng khuyến nghị điều trị.,"Explanation of diagnosis process. Future tense, reassuring.",Image,Info
analyzing,Analyzing...,Đang phân tích...,"Status during AI analysis. Present continuous, ends with ellipsis.",Image,Status
analyzing_plant_health,Analyzing plant health...,Đang phân tích sức khỏe cây trồng...,"Specific status for plant analysis. Present continuous, ends with ellipsis.",Image,Status
health_status,Health status,Tình trạng sức khỏe,"Label for health assessment section. Noun phrase.",Diagnosis,Labels
detected_issues,Detected Issues:,Vấn đề phát hiện:,"Section header for problems found. Ends with colon.",Diagnosis,Headers
severity_label, • Severity: , • Mức độ: ,"Label for severity level. Includes bullet point and colon. Space-sensitive formatting.",Diagnosis,Labels
affected_label,Affected: ,Bị ảnh hưởng: ,"Label for affected parts. Ends with colon and space.",Diagnosis,Labels
growth_stage,Growth Stage: ,Giai đoạn sinh trưởng: ,"Label for growth stage. Ends with colon and space.",Diagnosis,Labels
listen_to_advice,Listen to advice,Nghe lời khuyên,"Action to play TTS of advice. Action phrase.",Diagnosis,Actions
analyzing_your_crop,Analyzing your crop photo...,Đang phân tích ảnh cây trồng của bạn...,"Progress message during async diagnosis. Present continuous, ends with ellipsis. Reassuring.",Diagnosis,Status
estimated_time,Estimated time: 2-3 minutes,Thời gian ước tính: 2-3 phút,"Time estimate for diagnosis completion. Includes specific range. Manages expectations.",Diagnosis,Status
notification_when_ready,We'll notify you when it's ready,Chúng tôi sẽ thông báo khi sẵn sàng,"Promise of notification. Future tense, reassuring.",Diagnosis,Status
whats_happening,What's happening?,Điều gì đang xảy ra?,"Section header explaining process. Question form, curious tone.",Diagnosis,Headers
diagnosis_pending_explanation,"Our AI is carefully analyzing your plant image to identify:\n• Plant health status\n• Diseases and pests\n• Growth stage assessment\n• Treatment recommendations","AI của chúng tôi đang cẩn thận phân tích hình ảnh cây trồng của bạn để xác định:\n• Tình trạng sức khỏe cây trồng\n• Bệnh và sâu hại\n• Đánh giá giai đoạn sinh trưởng\n• Khuyến nghị điều trị","Multi-line explanation of diagnosis process. Present continuous. Bulleted list. Reassuring, professional.",Diagnosis,Info
diagnosis_pending_info,You can close this app and continue your work. We'll send you a notification when the diagnosis is ready!,Bạn có thể đóng ứng dụng này và tiếp tục công việc. Chúng tôi sẽ gửi thông báo khi chẩn đoán sẵn sàng!,"Permission to leave app. Two sentences. Reassuring, helpful. Ends with exclamation.",Diagnosis,Info
job_id_label,Job ID: ,Mã công việc: ,"Label for diagnosis job ID. Ends with colon and space. Technical reference.",Diagnosis,Labels
just_now,Just now,Vừa xong,"Relative time for very recent events. Present moment.",All,Timestamps
minutes_ago,m ago, phút trước,"Suffix for minutes relative time. Short form 'm'. Includes leading space in Vietnamese.",All,Timestamps
hours_ago,h ago, giờ trước,"Suffix for hours relative time. Short form 'h'. Includes leading space in Vietnamese.",All,Timestamps
today,Today,Hôm nay,"Relative time for today. Capitalized.",All,Timestamps
yesterday,Yesterday,Hôm qua,"Relative time for yesterday. Capitalized.",All,Timestamps
days_ago, days ago, ngày trước,"Suffix for days relative time. Includes leading space. Plural form.",All,Timestamps
weeks_ago, weeks ago, tuần trước,"Suffix for weeks relative time. Includes leading space. Plural form.",All,Timestamps
months_ago, months ago, tháng trước,"Suffix for months relative time. Includes leading space. Plural form.",All,Timestamps
conversations,Conversations,Cuộc trò chuyện,"Screen title and menu item. Plural noun.",Conversations,Headers
new_conversation,New Conversation,Cuộc trò chuyện mới,"Action to create new conversation. Action phrase.",Conversations,Actions
no_conversations_yet,No conversations yet,Chưa có cuộc trò chuyện nào,"Empty state message. Simple statement of fact.",Conversations,Empty States
no_conversations_hint,Tap + to start a new conversation,Nhấn + để bắt đầu cuộc trò chuyện mới,"Instruction for empty state. Action phrase, references UI element (+).",Conversations,Instructions
message_count_suffix, messages, tin nhắn,"Suffix for message count. Includes leading space. Plural form. Example: '5 messages'",Conversations,Labels
delete_conversation,Delete conversation,Xóa cuộc trò chuyện,"Action to delete conversation. Action phrase. Destructive action.",Conversations,Actions
delete_conversation_title,Delete Conversation,Xóa cuộc trò chuyện,"Dialog title for delete confirmation. Capitalized.",Conversations,Dialogs
delete_conversation_message,Are you sure you want to delete this conversation? This action cannot be undone.,Bạn có chắc chắn muốn xóa cuộc trò chuyện này? Hành động này không thể hoàn tác.,"Confirmation prompt. Two sentences. Warning about irreversibility. Question form.",Conversations,Dialogs
delete_conversation_confirm,Delete,Xóa,"Destructive confirmation button. Action verb, short. Same as general delete.",Conversations,Buttons
location,Location,Vị trí,"Label for location feature. Singular noun.",Location,Labels
share_location,Share Location,Chia sẻ vị trí,"Action to share location. Action phrase.",Location,Actions
update_location,Update Location,Cập nhật vị trí,"Action to refresh location. Action phrase.",Location,Actions
share_gps_location,Share GPS Location,Chia sẻ vị trí GPS,"Action to share precise GPS. Action phrase, specifies GPS.",Location,Actions
open_settings,Open Settings,Mở cài đặt,"Action to open system settings. Action phrase.",Location,Actions
detected_location_ip,Detected Location (IP),Vị trí phát hiện (IP),"Label for IP-based location. Includes method in parentheses.",Location,Labels
my_shared_location_gps,My Shared Location (GPS),Vị trí chia sẻ của tôi (GPS),"Label for GPS location. First person. Includes method in parentheses.",Location,Labels
unable_to_detect_location,Unable to determine location,Không thể xác định vị trí,"Error message for location failure. Polite, clear.",Location,Errors
share_location_description,Share your precise location for more accurate weather forecasts and farming advice.,Chia sẻ vị trí chính xác của bạn để có dự báo thời tiết và lời khuyên canh tác chính xác hơn.,"Explanation of location benefits. Encourages sharing. Mentions weather and advice.",Location,Info
location_help_text,Your location helps provide accurate weather forecasts and farming advice for your area.,Vị trí của bạn giúp cung cấp dự báo thời tiết và lời khuyên canh tác chính xác cho khu vực của bạn.,"Informational text about location usage. Reassuring, transparent.",Location,Info
microphone_permission,Microphone Permission,Quyền microphone,"Bottom sheet title for mic permission. Capitalized.",Permissions,Headers
voice_recording,Voice Recording,Ghi âm giọng nói,"Feature label for voice. Noun phrase.",Permissions,Labels
microphone_permission_settings_prompt,Microphone permission is required to record voice messages. Please enable it in Settings.,Cần có quyền microphone để ghi âm tin nhắn thoại. Vui lòng bật trong Cài đặt.,"Prompt when user must go to settings. Two sentences. Polite 'Please'.",Permissions,Prompts
microphone_permission_prompt,Grant microphone permission to record and send voice messages to the AI assistant.,Cấp quyền microphone để ghi âm và gửi tin nhắn thoại cho trợ lý AI.,"Initial permission request. Explains purpose. Action phrase starts.",Permissions,Prompts
grant_permission,Grant Permission,Cấp quyền,"Action button for permission request. Action phrase.",Permissions,Buttons
voice_message_info_text,Voice messages are transcribed using AI and sent to the assistant for farming advice.,Tin nhắn thoại được phiên âm bằng AI và gửi đến trợ lý để nhận lời khuyên canh tác.,"Explanation of voice message processing. Passive voice. Transparent about AI usage.",Permissions,Info
camera_photo_permissions,Camera & Photo Permissions,Quyền máy ảnh & ảnh,"Bottom sheet title for camera/photo permissions. Uses & symbol.",Permissions,Headers
camera_access,Camera Access,Truy cập máy ảnh,"Section header for camera permission. Noun phrase.",Permissions,Labels
camera_permission_settings_prompt,Camera permission is required to capture plant photos. Please enable it in Settings.,Cần có quyền máy ảnh để chụp ảnh cây trồng. Vui lòng bật trong Cài đặt.,"Settings prompt for camera. Two sentences. Polite. Specifies use case (plant photos).",Permissions,Prompts
camera_permission_granted,Camera access granted ✓,Đã cấp quyền máy ảnh ✓,"Success message with checkmark. Past tense. Includes checkmark symbol.",Permissions,Status
camera_permission_prompt,Allow camera access to capture photos of your plants for AI diagnosis.,Cho phép truy cập máy ảnh để chụp ảnh cây trồng của bạn cho chẩn đoán AI.,"Initial camera permission request. Explains purpose (plant diagnosis).",Permissions,Prompts
photo_library_access,Photo Library Access,Truy cập thư viện ảnh,"Section header for photo permission. Noun phrase.",Permissions,Labels
photo_library_permission_settings_prompt,Photo library permission is required to select existing images. Please enable it in Settings.,Cần có quyền thư viện ảnh để chọn hình ảnh có sẵn. Vui lòng bật trong Cài đặt.,"Settings prompt for photos. Two sentences. Polite. Specifies use case.",Permissions,Prompts
photo_library_permission_granted,Photo library access granted ✓,Đã cấp quyền thư viện ảnh ✓,"Success message with checkmark. Past tense.",Permissions,Status
photo_library_permission_prompt,Allow photo library access to select existing plant images for diagnosis.,Cho phép truy cập thư viện ảnh để chọn hình ảnh cây trồng có sẵn cho chẩn đoán.,"Initial photo permission request. Explains purpose.",Permissions,Prompts
image_upload_info_text,Images are sent to our AI for plant health diagnosis and treatment recommendations.,Hình ảnh được gửi đến AI của chúng tôi để chẩn đoán sức khỏe cây trồng và khuyến nghị điều trị.,"Privacy/transparency message about image usage. Passive voice.",Permissions,Info
permission_granted_text,Permission granted,Đã cấp quyền,"Generic success message. Past tense, concise.",Permissions,Status
profile,Profile,Hồ sơ,"Menu item for profile. Singular noun.",Settings,Menu Items
settings,Settings,Cài đặt,"Menu item and screen title. Plural noun.",Settings,Menu Items
language,Language,Ngôn ngữ,"Setting label. Singular noun.",Settings,Labels
theme,Theme,Giao diện,"Setting label. Singular noun.",Settings,Labels
light,Light,Sáng,"Theme option. Adjective.",Settings,Options
dark,Dark,Tối,"Theme option. Adjective.",Settings,Options
system,System,Hệ thống,"Theme option (short form). Adjective.",Settings,Options
system_default,System Default,Mặc định hệ thống,"Theme option (long form). Noun phrase.",Settings,Options
about,About,Giới thiệu,"Menu item for about screen. Preposition used as noun.",Settings,Menu Items
version,Version,Phiên bản,"Label for version number. Singular noun.",Settings,Labels
share_response,Share Response,Chia sẻ phản hồi,"Bottom sheet title for sharing. Action phrase.",Share,Headers
share_as_text,Share as Text,Chia sẻ dưới dạng văn bản,"Option to share text. Action phrase.",Share,Options
share_as_image,Share as Image,Chia sẻ dưới dạng hình ảnh,"Option to share screenshot. Action phrase.",Share,Options
share_via_messaging,Share via messaging apps,Chia sẻ qua ứng dụng nhắn tin,"Description for text share. Lowercase, descriptive.",Share,Info
save_or_share_screenshot,Save or share as screenshot,Lưu hoặc chia sẻ ảnh chụp màn hình,"Description for image share. Lowercase, descriptive.",Share,Info
error_generic,Something went wrong. Please try again.,Đã xảy ra lỗi. Vui lòng thử lại.,"Generic error message. Two sentences. Polite recovery action. Vague but friendly.",Errors,Generic
error_network,No internet connection. Please check your network.,Không có kết nối internet. Vui lòng kiểm tra mạng của bạn.,"Network error. Two sentences. Specific problem and action.",Errors,Generic
error_microphone,Microphone access denied,Quyền microphone bị từ chối,"Permission error. Passive voice, concise.",Errors,Generic
error_camera,Camera access denied,Quyền máy ảnh bị từ chối,"Permission error. Passive voice, concise.",Errors,Generic
error_permission,Permission required,Yêu cầu quyền,"Generic permission error. Noun phrase.",Errors,Generic
error_unknown,Unknown error,Lỗi không xác định,"Fallback error message. Adjective + noun.",Errors,Generic
error_failed_to_send_message,Failed to send message,Không gửi được tin nhắn,"Specific operation failure. Past tense.",Errors,Specific
error_failed_to_load_conversations,Failed to load conversations,Không tải được cuộc trò chuyện,"List loading failure. Past tense.",Errors,Specific
error_failed_to_create_conversation,Failed to create conversation,Không tạo được cuộc trò chuyện,"Creation failure. Past tense.",Errors,Specific
error_failed_to_delete_conversation,Failed to delete conversation,Không xóa được cuộc trò chuyện,"Deletion failure. Past tense.",Errors,Specific
error_failed_to_archive_conversation,Failed to archive conversation,Không lưu trữ được cuộc trò chuyện,"Archive failure. Past tense.",Errors,Specific
error_failed_to_submit_diagnosis,Failed to submit diagnosis,Không gửi được chẩn đoán,"Submission failure. Past tense.",Errors,Specific
error_image_too_large,Image is too large. Please try a smaller image.,Hình ảnh quá lớn. Vui lòng thử hình ảnh nhỏ hơn.,"Validation error. Two sentences. Specific problem and recovery action.",Errors,Specific
error_failed_to_process_image,Failed to process image. Please try again.,Không xử lý được hình ảnh. Vui lòng thử lại.,"Image processing error. Two sentences. Generic recovery.",Errors,Specific
error_loading_conversations,Error loading conversations,Lỗi tải cuộc trò chuyện,"Loading error message. Noun phrase.",Errors,Specific
audio_not_available,⚠ Audio not available,⚠ Âm thanh không khả dụng,"Error state for TTS. Includes warning symbol. Polite negative.",Voice,Errors
play_voice_message,Play,Phát,"Button to play audio. Action verb, short.",Voice,Actions
pause_voice_message,Pause,Tạm dừng,"Button to pause audio. Action verb, short.",Voice,Actions
plant_image,Plant Image,Hình ảnh cây trồng,"Dialog title for fullscreen image. Noun phrase, capitalized.",Image,Headers
plant_image_fullscreen,Plant image fullscreen,Hình ảnh cây trồng toàn màn hình,"Content description for accessibility. Lowercase, descriptive.",Image,Accessibility
health_label,Health: ,Sức khỏe: ,"Label prefix with colon and space. Used in '  Health: Good'",Image,Labels
issues_detected, issue(s) detected, vấn đề phát hiện,"Label suffix for issue count. Includes leading space. Plural with (s). Example: '3 issue(s) detected'",Image,Labels
image_quality_label,Image Quality: ,Chất lượng hình ảnh: ,"Label prefix with colon and space.",Image,Labels
cd_settings,Settings,Cài đặt,"Content description for settings icon. For screen readers.",All,Accessibility
cd_scroll_to_bottom,Scroll to bottom,Cuộn xuống cuối,"Content description for FAB. For screen readers.",All,Accessibility
cd_new_conversation,New Conversation,Cuộc trò chuyện mới,"Content description for new conversation button. For screen readers.",All,Accessibility
cd_delete_conversation,Delete conversation,Xóa cuộc trò chuyện,"Content description for delete button. For screen readers. Lowercase.",All,Accessibility
cd_voice_input,Voice input,Nhập giọng nói,"Content description for voice button. For screen readers. Lowercase.",All,Accessibility
cd_attach_image,Attach image,Đính kèm hình ảnh,"Content description for image button. For screen readers. Lowercase.",All,Accessibility
cd_camera,Camera,Máy ảnh,"Content description for camera icon. For screen readers.",All,Accessibility
cd_gallery,Gallery,Thư viện,"Content description for gallery icon. For screen readers.",All,Accessibility
cd_send,Send,Gửi,"Content description for send button. For screen readers.",All,Accessibility
cd_back,Back,Quay lại,"Content description for back button. For screen readers.",All,Accessibility
cd_close,Close,Đóng,"Content description for close button. For screen readers.",All,Accessibility
cd_cancel,Cancel,Hủy,"Content description for cancel button. For screen readers.",All,Accessibility
cd_copy,Copy,Sao chép,"Content description for copy action. For screen readers.",All,Accessibility
cd_share,Share,Chia sẻ,"Content description for share action. For screen readers.",All,Accessibility
cd_play,Play,Phát,"Content description for play button. For screen readers.",All,Accessibility
cd_pause,Pause,Tạm dừng,"Content description for pause button. For screen readers.",All,Accessibility
cd_selected_plant_image,Selected plant image,Hình ảnh cây trồng đã chọn,"Content description for selected image preview. For screen readers. Lowercase.",All,Accessibility
cd_plant_image_fullscreen,Plant image fullscreen,Hình ảnh cây trồng toàn màn hình,"Content description for fullscreen image. For screen readers. Lowercase.",All,Accessibility
cd_cancel_recording,Cancel recording,Hủy ghi âm,"Content description for cancel record button. For screen readers. Lowercase.",All,Accessibility
cd_send_recording,Send recording,Gửi bản ghi,"Content description for send record button. For screen readers. Lowercase.",All,Accessibility
cd_crop,Crop,Cây trồng,"Content description for crop icon. For screen readers.",All,Accessibility
resume_voice_message,Resume,Tiếp tục,"Action to resume paused voice message. Action verb, short.",Voice,Actions
plant_image_being_analyzed,Plant image being analyzed,Hình ảnh cây trồng đang được phân tích,"Content description for diagnosis pending image. For screen readers. Describes what's happening.",Diagnosis,Accessibility
no_image,No image,Không có hình ảnh,"Message shown when image is missing or not available. Simple statement.",Image,Empty States
crop_label,Crop,Cây trồng,"Label for crop/plant in diagnosis response. Noun, singular.",Diagnosis,Labels
error_server_updating,Server is updating. Please try again in a few seconds.,Máy chủ đang cập nhật. Vui lòng thử lại sau vài giây.,"Error when server is deploying/updating. Two sentences. Polite, asks to wait.",Errors,Specific
error_connection_failed,Unable to connect to server. Check your network connection.,Không thể kết nối với máy chủ. Kiểm tra kết nối mạng.,"Connection error. Two sentences. Network troubleshooting.",Errors,Specific
